"","player_name","team_name","action_type","shot_zone_range","shot_zone","shot_type"
"936","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"937","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"938","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"939","Stephen Curry","Golden State Warriors","Jump Bank Shot","Less Than 8 ft.",1,"Bank"
"940","Stephen Curry","Golden State Warriors","Running Layup Shot","Less Than 8 ft.",1,"Layup"
"941","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"942","Stephen Curry","Golden State Warriors","Jump Bank Shot","Less Than 8 ft.",1,"Bank"
"943","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"944","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"945","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"946","Stephen Curry","Golden State Warriors","Running Bank shot","Less Than 8 ft.",1,"Bank"
"947","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"948","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"949","Stephen Curry","Golden State Warriors","Driving Finger Roll Layup Shot","Less Than 8 ft.",1,"Layup"
"950","Stephen Curry","Golden State Warriors","Driving Finger Roll Layup Shot","Less Than 8 ft.",1,"Layup"
"951","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"952","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"953","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"954","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"955","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"956","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"957","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"958","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"959","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"960","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"961","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"962","Stephen Curry","Golden State Warriors","Running Bank shot","8-16 ft.",2,"Bank"
"963","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"964","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"965","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"966","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
