person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
203516,Ennis, James,James Ennis,TRUE,2014,2015,james_ennis,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
203898,Ennis, Tyler,Tyler Ennis,TRUE,2014,2015,tyler_ennis,1610612749,Milwaukee,Bucks,MIL,bucks,Y
202379,Evans, Jeremy,Jeremy Evans,TRUE,2010,2015,jeremy_evans,1610612742,Dallas,Mavericks,DAL,mavericks,Y
201936,Evans, Tyreke,Tyreke Evans,TRUE,2009,2015,tyreke_evans,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
203957,Exum, Dante,Dante Exum,TRUE,2014,2015,dante_exum,1610612762,Utah,Jazz,UTA,jazz,Y
203105,Ezeli, Festus,Festus Ezeli,TRUE,2012,2015,festus_ezeli,1610612744,Golden State,Warriors,GSW,warriors,Y
202702,Faried, Kenneth,Kenneth Faried,TRUE,2011,2015,kenneth_faried,1610612743,Denver,Nuggets,DEN,nuggets,Y
200770,Farmar, Jordan,Jordan Farmar,TRUE,2006,2015,jordan_farmar,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
202324,Favors, Derrick,Derrick Favors,TRUE,2010,2015,derrick_favors,1610612762,Utah,Jazz,UTA,jazz,Y
1626245,Felicio, Cristiano,Cristiano Felicio,TRUE,2015,2015,cristiano_felicio,1610612741,Chicago,Bulls,CHI,bulls,Y
101109,Felton, Raymond,Raymond Felton,TRUE,2005,2015,raymond_felton,1610612742,Dallas,Mavericks,DAL,mavericks,Y
203095,Fournier, Evan,Evan Fournier,TRUE,2012,2015,evan_fournier,1610612753,Orlando,Magic,ORL,magic,Y
200751,Foye, Randy,Randy Foye,TRUE,2006,2015,randy_foye,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
204025,Frazier, Tim,Tim Frazier,TRUE,2014,2015,tim_frazier,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
101112,Frye, Channing,Channing Frye,TRUE,2005,2015,channing_frye,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
201568,Gallinari, Danilo,Danilo Gallinari,TRUE,2008,2015,danilo_gallinari,1610612743,Denver,Nuggets,DEN,nuggets,Y
204038,Galloway, Langston,Langston Galloway,TRUE,2014,2015,langston_galloway,1610612752,New York,Knicks,NYK,knicks,Y
708,Garnett, Kevin,Kevin Garnett,TRUE,1995,2015,kevin_garnett,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y
201188,Gasol, Marc,Marc Gasol,TRUE,2008,2015,marc_gasol,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
2200,Gasol, Pau,Pau Gasol,TRUE,2001,2015,pau_gasol,1610612741,Chicago,Bulls,CHI,bulls,Y
200752,Gay, Rudy,Rudy Gay,TRUE,2006,2015,rudy_gay,1610612758,Sacramento,Kings,SAC,kings,Y
202087,Gee, Alonzo,Alonzo Gee,TRUE,2009,2015,alonzo_gee,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
202331,George, Paul,Paul George,TRUE,2010,2015,paul_george,1610612754,Indiana,Pacers,IND,pacers,Y
201959,Gibson, Taj,Taj Gibson,TRUE,2009,2015,taj_gibson,1610612741,Chicago,Bulls,CHI,bulls,Y
1938,Ginobili, Manu,Manu Ginobili,TRUE,2002,2015,emanuel_ginobili,1610612759,San Antonio,Spurs,SAS,spurs,Y
203497,Gobert, Rudy,Rudy Gobert,TRUE,2013,2015,rudy_gobert,1610612762,Utah,Jazz,UTA,jazz,Y
2400,Gooden, Drew,Drew Gooden,TRUE,2002,2015,drew_gooden,1610612764,Washington,Wizards,WAS,wizards,Y
203462,Goodwin, Archie,Archie Goodwin,TRUE,2013,2015,archie_goodwin,1610612756,Phoenix,Suns,PHX,suns,Y
203932,Gordon, Aaron,Aaron Gordon,TRUE,2014,2015,aaron_gordon,1610612753,Orlando,Magic,ORL,magic,Y
201569,Gordon, Eric,Eric Gordon,TRUE,2008,2015,eric_gordon,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
101162,Gortat, Marcin,Marcin Gortat,TRUE,2007,2015,marcin_gortat,1610612764,Washington,Wizards,WAS,wizards,Y
