"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"75","Shot Chart Detail","0041400173","5","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","11","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",17,-16,12.35,1,"missed",0,2
"76","Shot Chart Detail","0041400173","8","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","10","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2,5.25,1,"missed",0,2
"77","Shot Chart Detail","0041400173","15","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","9","25","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-3.2,4.75,1,"missed",0,2
"78","Shot Chart Detail","0041400173","69","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","4","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-16.3,13.05,1,"missed",0,2
"79","Shot Chart Detail","0041400173","145","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","9","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",19,-11.1,21.15,1,"missed",0,2
"80","Shot Chart Detail","0041400173","167","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","8","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-16,26.55,1,"missed",0,3
"81","Shot Chart Detail","0041400173","170","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","7","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.3,5.85,1,"made",1,2
"82","Shot Chart Detail","0041400173","224","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","2","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",18,10.6,20.05,1,"missed",0,2
"83","Shot Chart Detail","0041400173","249","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","0","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-5.6,8.65,1,"missed",0,2
"84","Shot Chart Detail","0041400173","287","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","9","51","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,0,11.05,1,"made",1,2
"85","Shot Chart Detail","0041400173","298","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","8","32","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-12.8,9.35,1,"missed",0,2
"86","Shot Chart Detail","0041400173","307","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","8","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",15,-10.6,16.45,1,"made",1,2
"87","Shot Chart Detail","0041400173","326","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","6","26","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-9.2,20.95,1,"made",1,2
"88","Shot Chart Detail","0041400173","348","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","3","27","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,-11.1,9.65,1,"made",1,2
"89","Shot Chart Detail","0041400173","411","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","10","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",17,-2.6,22.45,1,"made",1,2
"90","Shot Chart Detail","0041400173","432","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","8","44","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-12.7,10.75,1,"missed",0,2
"91","Shot Chart Detail","0041400173","448","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","8","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",15,14,12.65,1,"missed",0,2
"92","Shot Chart Detail","0041400174","3","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","11","26","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-10.8,10.85,1,"missed",0,2
"93","Shot Chart Detail","0041400174","10","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","10","16","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-2.7,5.65,1,"missed",0,2
"94","Shot Chart Detail","0041400174","39","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","6","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",14,0,19.75,1,"missed",0,2
"95","Shot Chart Detail","0041400174","62","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","3","53","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,0.7,8.05,1,"made",1,2
"96","Shot Chart Detail","0041400174","67","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","3","19","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",22,-22.1,7.15,1,"missed",0,3
"97","Shot Chart Detail","0041400174","73","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","2","48","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.95,1,"made",1,2
"98","Shot Chart Detail","0041400174","105","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","11","3","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",9,-7,11.55,1,"missed",0,2
"99","Shot Chart Detail","0041400174","119","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","9","11","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-9.8,14.95,1,"missed",0,2
"100","Shot Chart Detail","0041400174","152","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","5","49","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",14,-7.6,17.95,1,"made",1,2
"101","Shot Chart Detail","0041400174","180","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","3","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.6,4.95,1,"made",1,2
"102","Shot Chart Detail","0041400174","203","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","0","46","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.8,5.65,1,"made",1,2
"103","Shot Chart Detail","0041400174","216","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","11","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-18.3,7.25,1,"missed",0,2
"104","Shot Chart Detail","0041400174","221","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","10","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.5,5.65,1,"missed",0,2
