Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
TJ Warren	PHX	47	21	4.2%	0.62	13	5	14	35.7	35.7	14.3%	19.0%	4.8%	0.0%	38.1%	67.3
Jared Dudley	WAS	75	23	4.0%	0.57	13	2	3	66.7	66.7	30.4%	56.5%	0.0%	0.0%	34.8%	60.7
Allen Crabbe	POR	75	25	3.4%	0.52	13	3	5	60.0	80.0	16.0%	64.0%	0.0%	0.0%	28.0%	51.8
Maurice Harkless	POR	71	26	5.8%	0.50	13	3	7	42.9	42.9	19.2%	53.8%	3.8%	0.0%	30.8%	49.9
Bobby Portis	CHI	55	28	6.2%	0.46	13	5	12	41.7	41.7	7.1%	50.0%	0.0%	0.0%	25.0%	44.7
Norris Cole	NOP	45	29	5.0%	0.45	13	3	6	50.0	58.3	10.3%	69.0%	0.0%	0.0%	20.7%	42.6
Joffrey Lauvergne	DEN	52	29	7.0%	0.45	13	2	4	50.0	62.5	13.8%	72.4%	3.4%	0.0%	20.7%	42.6
Kelly Olynyk	BOS	63	35	5.5%	0.37	13	4	11	36.4	40.9	8.6%	60.0%	0.0%	0.0%	17.1%	29.9
Jerami Grant	PHI	72	37	4.7%	0.35	13	3	12	25.0	25.0	16.2%	51.4%	2.7%	0.0%	18.9%	27.1
Manu Ginobili	SAS	54	39	7.1%	0.33	13	2	8	25.0	25.0	23.1%	56.4%	2.6%	0.0%	23.1%	22.3
Rodney Hood	UTA	73	41	3.8%	0.32	13	2	15	13.3	13.3	12.2%	51.2%	0.0%	0.0%	17.1%	20.8
Jose Calderon	NYK	72	42	7.5%	0.31	13	2	5	40.0	40.0	14.3%	73.8%	0.0%	0.0%	19.0%	19.9
Doug McDermott	CHI	74	22	3.3%	0.55	12	3	9	33.3	33.3	13.6%	45.5%	0.0%	0.0%	27.3%	57.5
Jeff Withey	UTA	43	23	11.2%	0.52	12	1	3	33.3	33.3	26.1%	65.2%	4.3%	4.3%	26.1%	52.1
Ben McLemore	SAC	61	28	5.4%	0.43	12	2	8	25.0	31.3	14.3%	57.1%	3.6%	0.0%	21.4%	38.2
J.J. Barea	DAL	70	29	3.6%	0.41	12	3	8	37.5	43.8	17.2%	55.2%	3.4%	0.0%	24.1%	35.8
Nene Hilario	WAS	52	29	6.0%	0.41	12	2	4	50.0	50.0	20.7%	69.0%	3.4%	3.4%	24.1%	35.8
