"","game_id","player_id","team_id","team_name","period","shot_distance","loc_x","loc_y"
"292","0041400225","201145","1610612763","Memphis Grizzlies","3",25,-18.7,22.85
"293","0041400225","201145","1610612763","Memphis Grizzlies","4",2,-1.9,7.45
"294","0041400225","201145","1610612763","Memphis Grizzlies","4",6,-2.7,10.75
"295","0041400226","201145","1610612763","Memphis Grizzlies","1",1,-1,5.05
"296","0041400226","201145","1610612763","Memphis Grizzlies","2",0,0,5.35
"297","0041400226","201145","1610612763","Memphis Grizzlies","2",17,6.2,21.45
"298","0041400226","201145","1610612763","Memphis Grizzlies","2",5,-0.4,10.25
"299","0041400226","201145","1610612763","Memphis Grizzlies","3",21,10.6,23.95
"300","0041400226","201145","1610612763","Memphis Grizzlies","3",19,10.6,21.45
"301","0041400226","201145","1610612763","Memphis Grizzlies","3",26,11.8,28.75
"302","0041400226","201145","1610612763","Memphis Grizzlies","3",27,6.4,31.55
"303","0041400222","201585","1610612763","Memphis Grizzlies","1",7,4.3,10.85
"304","0041400222","201585","1610612763","Memphis Grizzlies","1",6,-0.5,11.35
"305","0041400222","201585","1610612763","Memphis Grizzlies","1",7,-0.4,12.45
"306","0041400223","201585","1610612763","Memphis Grizzlies","1",1,-0.2,6.45
"307","0041400223","201585","1610612763","Memphis Grizzlies","1",2,2,5.65
"308","0041400223","201585","1610612763","Memphis Grizzlies","2",0,0,5.35
"309","0041400223","201585","1610612763","Memphis Grizzlies","3",6,0.4,11.35
"310","0041400224","201585","1610612763","Memphis Grizzlies","1",9,7.5,11.35
"311","0041400224","201585","1610612763","Memphis Grizzlies","1",1,1,5.95
"312","0041400224","201585","1610612763","Memphis Grizzlies","1",1,0.1,6.95
"313","0041400225","201585","1610612763","Memphis Grizzlies","2",3,-1.9,8.55
"314","0041400225","201585","1610612763","Memphis Grizzlies","4",6,0.1,11.25
"315","0041400225","201585","1610612763","Memphis Grizzlies","4",6,4.7,9.35
"316","0041400225","201585","1610612763","Memphis Grizzlies","4",7,5.9,10.45
"317","0041400226","201585","1610612763","Memphis Grizzlies","1",6,-5.9,8.25
"318","0041400226","201585","1610612763","Memphis Grizzlies","2",9,3.7,14.35
"319","0041400226","201585","1610612763","Memphis Grizzlies","3",8,7.5,8.85
"320","0041400226","201585","1610612763","Memphis Grizzlies","4",5,0.4,10.25
"321","0041400226","201585","1610612763","Memphis Grizzlies","4",1,-0.2,6.65
"322","0041400221","201584","1610612763","Memphis Grizzlies","1",25,-14.7,25.75
"323","0041400221","201584","1610612763","Memphis Grizzlies","1",12,5.3,16.75
"324","0041400221","201584","1610612763","Memphis Grizzlies","1",12,-0.2,17.55
"325","0041400221","201584","1610612763","Memphis Grizzlies","2",14,-9.5,15.75
"326","0041400221","201584","1610612763","Memphis Grizzlies","2",25,-1.8,30.65
"327","0041400221","201584","1610612763","Memphis Grizzlies","3",8,0.4,13.25
"328","0041400221","201584","1610612763","Memphis Grizzlies","3",9,-9,8.75
"329","0041400221","201584","1610612763","Memphis Grizzlies","4",24,-6,29.45
"330","0041400221","201584","1610612763","Memphis Grizzlies","4",17,-9,19.75
"331","0041400222","201584","1610612763","Memphis Grizzlies","1",9,-9.2,8.35
"332","0041400222","201584","1610612763","Memphis Grizzlies","1",5,2.8,10.05
"333","0041400222","201584","1610612763","Memphis Grizzlies","1",1,1,5.25
"334","0041400222","201584","1610612763","Memphis Grizzlies","1",2,-2.3,5.95
"335","0041400222","201584","1610612763","Memphis Grizzlies","2",24,13,25.85
"336","0041400222","201584","1610612763","Memphis Grizzlies","2",22,-22.9,5.85
"337","0041400222","201584","1610612763","Memphis Grizzlies","3",15,0.4,20.85
"338","0041400222","201584","1610612763","Memphis Grizzlies","3",15,14,12.35
"339","0041400222","201584","1610612763","Memphis Grizzlies","3",7,0,12.45
"340","0041400222","201584","1610612763","Memphis Grizzlies","3",24,23.4,11.85
"341","0041400222","201584","1610612763","Memphis Grizzlies","3",23,22.8,9.15
"342","0041400222","201584","1610612763","Memphis Grizzlies","3",17,11.6,18.95
"343","0041400222","201584","1610612763","Memphis Grizzlies","4",1,-1.3,6.45
"344","0041400223","201584","1610612763","Memphis Grizzlies","1",17,-17.6,4.65
"345","0041400223","201584","1610612763","Memphis Grizzlies","1",0,0,5.35
"346","0041400223","201584","1610612763","Memphis Grizzlies","1",6,-5.9,7.45
"347","0041400223","201584","1610612763","Memphis Grizzlies","1",14,1,19.75
"348","0041400223","201584","1610612763","Memphis Grizzlies","3",16,-10.8,17.35
"349","0041400223","201584","1610612763","Memphis Grizzlies","3",24,7.3,28.75
"350","0041400223","201584","1610612763","Memphis Grizzlies","3",23,-14.2,24.45
"351","0041400223","201584","1610612763","Memphis Grizzlies","4",25,11,28.05
"352","0041400223","201584","1610612763","Memphis Grizzlies","4",24,2.1,29.35
