"","group_set","player1","player2","player3","player4","player5","group_name","team_id","team_abbreviation","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","group_quantity"
"319","Lineups","202699 "," 203506 "," 203901",NA,NA,"Harris,Tobias - Oladipo,Victor - Payton,Elfrid","1610612753","ORL","55","17","38","0.309","1047","102.1","108","-5.9","0.577","1.73","17.2","0.249","0.751","0.492","0.134","0.487","0.519","95.71","0.469",3
"320","Lineups","203084 "," 101106 "," 201939",NA,NA,"Barnes,Harrison - Bogut,Andrew - Curry,Stephen","1610612744","GSW","65","57","8","0.877","1042","112.5","94.8","17.7","0.678","2.03","21.4","0.213","0.778","0.509","0.145","0.574","0.596","100.83","0.592",3
"321","Lineups","201976 "," 201935 "," 202700",NA,NA,"Beverley,Patrick - Harden,James - Motiejunas,Donatas","1610612745","HOU","55","35","20","0.636","1035","103.8","102.5","1.2","0.606","1.31","16.9","0.264","0.747","0.499","0.173","0.512","0.552","98.2","0.487",3
"322","Lineups","101161 "," 200768 "," 202685",NA,NA,"Johnson,Amir - Lowry,Kyle - Valanciunas,Jonas","1610612761","TOR","61","37","24","0.607","1022","104.7","105.2","-0.5","0.561","1.54","17.2","0.245","0.743","0.504","0.149","0.513","0.547","95.04","0.492",3
"323","Lineups","202710 "," 2399 "," 2200",NA,NA,"Butler,Jimmy - Dunleavy,Mike - Gasol,Pau","1610612741","CHI","44","31","13","0.705","1021","105.7","102.5","3.2","0.634","1.83","18.3","0.256","0.742","0.509","0.136","0.497","0.54","94.8","0.548",3
"324","Lineups","201579 "," 203524 "," 2561",NA,NA,"Hibbert,Roy - Hill,Solomon - West,David","1610612754","IND","62","29","33","0.468","1004","98.1","103.4","-5.3","0.627","1.7","17.7","0.226","0.774","0.499","0.14","0.47","0.508","93.55","0.48",3
"325","Lineups","2772 "," 201976 "," 202700",NA,NA,"Ariza,Trevor - Beverley,Patrick - Motiejunas,Donatas","1610612745","HOU","55","34","21","0.618","998","104.5","102.3","2.2","0.621","1.38","17.4","0.276","0.739","0.501","0.171","0.514","0.55","97.94","0.493",3
"326","Lineups","201167 "," 202702 "," 201951",NA,NA,"Afflalo,Arron - Faried,Kenneth - Lawson,Ty","1610612743","DEN","46","19","27","0.413","997","104.5","105.9","-1.5","0.587","1.61","17","0.286","0.779","0.525","0.144","0.493","0.529","98.42","0.488",3
"327","Lineups","1495 "," 201980 "," 202695",NA,NA,"Duncan,Tim - Green,Danny - Leonard,Kawhi","1610612759","SAS","61","45","16","0.738","984","111.6","95.2","16.4","0.603","2.01","19.3","0.22","0.779","0.515","0.13","0.544","0.579","96.47","0.591",3
"328","Lineups","101162 "," 2403 "," 1718",NA,NA,"Gortat,Marcin - Hilario,Nene - Pierce,Paul","1610612764","WAS","58","30","28","0.517","982","103.3","96.8","6.5","0.651","1.69","19.5","0.222","0.803","0.516","0.157","0.519","0.55","97.03","0.55",3
"329","Lineups","200768 "," 203082 "," 202685",NA,NA,"Lowry,Kyle - Ross,Terrence - Valanciunas,Jonas","1610612761","TOR","66","39","27","0.591","982","107.1","108.5","-1.4","0.54","1.68","16.9","0.244","0.746","0.503","0.134","0.517","0.552","95.29","0.492",3
"330","Lineups","2199 "," 1717 "," 202718",NA,NA,"Chandler,Tyson - Nowitzki,Dirk - Parsons,Chandler","1610612742","DAL","60","36","24","0.6","980","110","106.7","3.3","0.591","1.89","18.6","0.244","0.751","0.487","0.134","0.531","0.564","96.37","0.519",3
"331","Lineups","203084 "," 101106 "," 202691",NA,NA,"Barnes,Harrison - Bogut,Andrew - Thompson,Klay","1610612744","GSW","62","54","8","0.871","976","112.6","95.1","17.4","0.682","2.12","21.5","0.212","0.779","0.509","0.141","0.57","0.593","100.36","0.591",3
"332","Lineups","202335 "," 202349 "," 101150",NA,NA,"Patterson,Patrick - Vasquez,Greivis - Williams,Lou","1610612761","TOR","79","48","31","0.608","968","112","104.8","7.2","0.558","1.84","16.4","0.247","0.732","0.48","0.118","0.517","0.566","95.57","0.516",3
"333","Lineups","201980 "," 202695 "," 2225",NA,NA,"Green,Danny - Leonard,Kawhi - Parker,Tony","1610612759","SAS","59","43","16","0.729","966","111.7","97.6","14.1","0.596","1.95","19.1","0.231","0.776","0.518","0.133","0.543","0.579","96.04","0.58",3
"334","Lineups","101161 "," 200768 "," 203082",NA,NA,"Johnson,Amir - Lowry,Kyle - Ross,Terrence","1610612761","TOR","61","37","24","0.607","964","108.5","106","2.5","0.562","1.71","17.6","0.254","0.749","0.512","0.138","0.526","0.56","96","0.514",3
"335","Lineups","2754 "," 201144 "," 201188",NA,NA,"Allen,Tony - Conley,Mike - Gasol,Marc","1610612763","MEM","56","41","15","0.732","959","109.3","97.6","11.7","0.561","1.58","17.3","0.253","0.76","0.515","0.146","0.523","0.571","94.41","0.571",3
"336","Lineups","202710 "," 2200 "," 201149",NA,NA,"Butler,Jimmy - Gasol,Pau - Noah,Joakim","1610612741","CHI","47","28","19","0.596","952","103.6","101.1","2.5","0.637","1.76","18","0.264","0.745","0.508","0.14","0.485","0.528","96.35","0.535",3
"337","Lineups","202339 "," 203458 "," 202693",NA,NA,"Bledsoe,Eric - Len,Alex - Morris,Markieff","1610612756","PHX","64","32","32","0.5","950","104","97.6","6.3","0.53","1.32","16.5","0.243","0.761","0.512","0.164","0.522","0.553","100.34","0.542",3
"338","Lineups","201942 "," 200768 "," 202685",NA,NA,"DeRozan,DeMar - Lowry,Kyle - Valanciunas,Jonas","1610612761","TOR","46","29","17","0.63","950","103.3","101.7","1.6","0.524","1.34","15.7","0.236","0.755","0.501","0.153","0.503","0.544","95.26","0.498",3
"339","Lineups","203484 "," 203083 "," 202328",NA,NA,"Caldwell-Pope,Kentavious - Drummond,Andre - Monroe,Greg","1610612765","DET","69","25","44","0.362","941","103.5","104.2","-0.7","0.548","1.47","16.2","0.323","0.763","0.535","0.152","0.492","0.515","94.44","0.479",3
"340","Lineups","201942 "," 101161 "," 200768",NA,NA,"DeRozan,DeMar - Johnson,Amir - Lowry,Kyle","1610612761","TOR","43","27","16","0.628","932","106.8","102.3","4.5","0.548","1.56","16.5","0.257","0.736","0.505","0.141","0.511","0.551","95.69","0.515",3
"341","Lineups","203084 "," 101106 "," 203110",NA,NA,"Barnes,Harrison - Bogut,Andrew - Green,Draymond","1610612744","GSW","63","54","9","0.857","921","113.5","94.8","18.7","0.686","2.13","21.7","0.208","0.777","0.507","0.142","0.579","0.6","100.53","0.599",3
"342","Lineups","202339 "," 202694 "," 202693",NA,NA,"Bledsoe,Eric - Morris,Marcus - Morris,Markieff","1610612756","PHX","72","36","36","0.5","916","106","102.7","3.3","0.537","1.44","16.8","0.233","0.755","0.505","0.153","0.526","0.561","97.62","0.526",3
"343","Lineups","201167 "," 201163 "," 202702",NA,NA,"Afflalo,Arron - Chandler,Wilson - Faried,Kenneth","1610612743","DEN","48","19","29","0.396","914","103.1","108.3","-5.1","0.59","1.59","17","0.285","0.782","0.526","0.146","0.489","0.524","98.16","0.469",3
"344","Lineups","203076 "," 201936 "," 201950",NA,NA,"Davis,Anthony - Evans,Tyreke - Holiday,Jrue","1610612740","NOP","37","18","19","0.486","911","108.9","104.3","4.6","0.561","1.8","17.5","0.273","0.769","0.518","0.132","0.515","0.55","95.61","0.527",3
